Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
ASTON MARTIN,MODEL-586,SUBCOMPACT,3.0,6,M7,Z,14.7,11.5,13.3,18,298
ACURA,MODEL-168,FULL-SIZE,1.5,4,A6,D,9.0,5.8,7.6,31,198
FIAT,MODEL-194,SUV - STANDARD,3.5,8,AV7,E,20.3,18.1,19.3,12,291
SMART,MODEL-732,PICKUP TRUCK - STANDARD,3.0,6,A10,X,14.3,11.3,13.0,18,301
DODGE,MODEL-719,SPECIAL PURPOSE VEHICLE,2.5,6,AV7,E,17.0,12.8,15.1,16,229
AUDI,MODEL-831,STATION WAGON - SMALL,1.0,4,AS5,X,8.9,6.0,7.6,31,172
TOYOTA,MODEL-371,SUBCOMPACT,2.0,6,AM7,Z,12.0,9.2,10.7,22,237
MINI,MODEL-438,COMPACT,2.0,4,M7,D,9.0,5.8,7.6,31,202
LEXUS,MODEL-114,VAN - CARGO,2.5,4,M7,Z,11.2,9.2,10.3,23,231
LINCOLN,MODEL-756,PICKUP TRUCK - STANDARD,3.0,4,AV10,Z,13.0,10.7,12.0,20,282
ACURA,MODEL-576,VAN - PASSENGER,2.0,4,AS10,X,11.1,7.2,9.3,25,204
RAM,MODEL-412,SUV - STANDARD,3.0,6,AS10,X,14.7,12.5,13.7,17,313
RAM,MODEL-959,FULL-SIZE,3.5,8,A4,X,14.7,10.9,13.0,18,293
INFINITI,MODEL-776,MID-SIZE,3.5,6,A4,X,14.8,11.9,13.5,17,300
BMW,MODEL-135,VAN - PASSENGER,2.5,6,M6,X,13.9,11.2,12.7,19,292
NISSAN,MODEL-250,VAN - PASSENGER,2.5,6,AV10,N,14.0,10.6,12.5,19,240
RAM,MODEL-277,PICKUP TRUCK - SMALL,2.5,4,M5,D,10.7,8.4,9.7,24,267
CHEVROLET,MODEL-818,SUV - SMALL,2.5,4,AM6,D,11.0,8.8,10.0,24,253
JEEP,MODEL-616,TWO-SEATER,3.5,4,A8,N,13.4,9.7,11.7,20,223
KIA,MODEL-143,STATION WAGON - MID-SIZE,2.5,4,AM7,X,12.9,10.5,11.8,20,269
ALFA ROMEO,MODEL-780,SUV - STANDARD,1.5,3,M6,X,10.3,8.6,9.5,25,220
ACURA,MODEL-837,SUV - STANDARD,3.0,4,A8,X,12.9,9.3,11.3,21,256
CHEVROLET,MODEL-984,PICKUP TRUCK - STANDARD,2.5,4,AV7,X,13.8,9.8,12.0,20,280
FIAT,MODEL-478,STATION WAGON - SMALL,1.0,4,AS8,X,8.8,4.9,7.0,34,166
MAZDA,MODEL-124,TWO-SEATER,1.0,4,A4,X,9.1,4.4,7.0,34,167
BMW,MODEL-916,SUV - STANDARD,2.5,4,AM6,X,12.1,9.6,11.0,21,256
ACURA,MODEL-129,SPECIAL PURPOSE VEHICLE,3.0,6,AS6,Z,13.9,11.0,12.6,19,290
GENESIS,MODEL-225,MID-SIZE,2.5,6,AS6,X,14.1,9.5,12.0,20,286
JEEP,MODEL-200,TWO-SEATER,3.5,6,M7,X,13.7,8.9,11.5,20,257
CHEVROLET,MODEL-588,STATION WAGON - SMALL,3.0,4,A10,Z,12.6,7.8,10.4,23,236
ALFA ROMEO,MODEL-619,TWO-SEATER,2.0,4,A6,Z,12.8,8.0,10.6,22,238
CADILLAC,MODEL-571,TWO-SEATER,3.5,6,A8,X,14.7,10.9,13.0,18,301
FIAT,MODEL-234,STATION WAGON - SMALL,3.5,8,AS10,Z,14.8,10.6,12.9,18,305
KIA,MODEL-406,SUBCOMPACT,2.0,4,AM6,D,9.6,6.0,8.0,29,215
DODGE,MODEL-991,MINICOMPACT,2.0,4,AM6,X,10.1,7.8,9.1,26,221
ACURA,MODEL-497,SPECIAL PURPOSE VEHICLE,2.5,4,A8,X,12.8,9.8,11.5,20,263
ROLLS-ROYCE,MODEL-779,SUBCOMPACT,2.5,6,A7,X,11.8,8.5,10.3,23,235
LAMBORGHINI,MODEL-679,VAN - PASSENGER,3.0,8,AS6,X,15.7,12.7,14.4,16,340
HONDA,MODEL-240,SUV - STANDARD,3.0,6,A10,X,13.3,8.8,11.3,21,261
SUBARU,MODEL-408,STATION WAGON - SMALL,3.0,8,AS9,Z,12.7,10.3,11.6,20,278
ACURA,MODEL-894,STATION WAGON - SMALL,3.0,8,AS9,X,13.5,11.3,12.5,19,279
BENTLEY,MODEL-534,PICKUP TRUCK - SMALL,2.0,4,AS10,Z,10.9,6.1,8.7,27,199
NISSAN,MODEL-680,SUV - STANDARD,2.0,4,A10,X,11.5,6.6,9.3,25,215
NISSAN,MODEL-419,FULL-SIZE,2.0,4,A8,Z,10.7,6.9,9.0,26,213
PORSCHE,MODEL-975,COMPACT,4.0,4,A8,X,13.8,9.8,12.0,20,280
VOLVO,MODEL-554,MID-SIZE,2.5,4,A5,X,11.6,7.0,9.5,25,217
KIA,MODEL-539,TWO-SEATER,2.5,4,AS8,E,17.7,12.3,15.3,15,236
CHEVROLET,MODEL-548,SUV - STANDARD,4.0,4,AV8,D,13.1,11.2,12.2,19,318
FORD,MODEL-346,MINICOMPACT,2.0,4,AM6,Z,12.2,10.2,11.3,21,262
INFINITI,MODEL-765,STATION WAGON - SMALL,2.5,6,A9,X,11.6,6.6,9.4,25,211
JEEP,MODEL-819,FULL-SIZE,3.0,6,AV8,Z,13.4,11.1,12.4,19,279
GMC,MODEL-651,SUV - SMALL,2.0,6,AV10,Z,11.7,8.8,10.4,23,233
BUICK,MODEL-301,MID-SIZE,2.0,6,AM6,X,12.8,9.2,11.2,21,247
VOLKSWAGEN,MODEL-681,STATION WAGON - SMALL,2.0,4,M5,D,8.6,7.2,8.0,29,212
JAGUAR,MODEL-834,SUV - SMALL,2.5,4,AS8,Z,12.7,8.8,10.9,22,258
JAGUAR,MODEL-375,SUV - STANDARD,1.5,3,AS7,X,10.4,5.4,8.2,29,190
BENTLEY,MODEL-205,MID-SIZE,2.0,4,A9,X,11.6,9.5,10.7,22,251
HYUNDAI,MODEL-432,STATION WAGON - MID-SIZE,3.5,6,A7,Z,14.8,12.9,13.9,17,315
INFINITI,MODEL-841,MINICOMPACT,1.5,4,AV7,X,10.1,7.7,9.0,26,199
MAZDA,MODEL-291,FULL-SIZE,3.5,6,M7,Z,13.8,12.2,13.1,18,299
KIA,MODEL-137,SUV - STANDARD,1.0,4,AS5,X,9.5,5.5,7.7,31,173
BENTLEY,MODEL-275,STATION WAGON - SMALL,1.5,3,A10,X,9.0,5.2,7.3,32,176
MERCEDES-BENZ,MODEL-507,PICKUP TRUCK - STANDARD,3.0,6,AV7,X,14.3,10.9,12.8,18,297
RAM,MODEL-360,PICKUP TRUCK - STANDARD,1.5,3,A7,N,10.1,6.8,8.6,27,161
MASERATI,MODEL-660,MINICOMPACT,2.5,4,AS7,X,12.2,8.5,10.5,22,250
ALFA ROMEO,MODEL-602,FULL-SIZE,2.5,4,AS9,Z,12.2,10.3,11.3,21,262
JAGUAR,MODEL-173,PICKUP TRUCK - SMALL,2.0,4,A6,X,11.1,6.4,9.0,26,205
FORD,MODEL-907,FULL-SIZE,1.0,4,AM7,X,9.8,7.1,8.6,27,199
JEEP,MODEL-336,VAN - PASSENGER,3.0,6,A4,X,13.5,10.3,12.1,19,272
FORD,MODEL-871,PICKUP TRUCK - SMALL,2.5,4,A7,X,13.9,11.3,12.7,19,289
LEXUS,MODEL-681,PICKUP TRUCK - STANDARD,3.0,6,M6,E,18.3,13.0,15.9,15,234
BMW,MODEL-824,STATION WAGON - MID-SIZE,2.5,4,AS5,D,9.9,8.3,9.2,26,235
BMW,MODEL-568,PICKUP TRUCK - SMALL,2.5,4,AV,X,12.5,8.5,10.7,22,248
ROLLS-ROYCE,MODEL-557,TWO-SEATER,3.0,6,AV8,D,12.9,11.3,12.2,19,325
HONDA,MODEL-461,STATION WAGON - MID-SIZE,2.5,4,AV,X,12.6,10.5,11.7,20,263
ALFA ROMEO,MODEL-953,FULL-SIZE,3.0,6,A8,X,15.3,11.3,13.5,17,321
JEEP,MODEL-942,VAN - PASSENGER,4.0,6,AV10,Z,15.0,12.0,13.6,17,319
BENTLEY,MODEL-970,STATION WAGON - SMALL,2.5,4,A10,X,11.2,6.5,9.1,26,204
LAND ROVER,MODEL-400,STATION WAGON - MID-SIZE,2.5,6,A8,X,14.4,11.0,12.9,18,290
ACURA,MODEL-151,TWO-SEATER,1.5,4,AV10,D,10.0,8.4,9.3,25,244
SUBARU,MODEL-109,MINICOMPACT,2.0,4,AS8,X,10.2,8.4,9.4,25,215
ACURA,MODEL-479,COMPACT,3.0,8,A6,X,15.5,11.5,13.7,17,299
MINI,MODEL-524,VAN - PASSENGER,1.5,3,M5,Z,11.4,9.1,10.4,23,234
LINCOLN,MODEL-671,STATION WAGON - SMALL,3.0,8,AS5,X,13.1,10.7,12.0,20,273
FIAT,MODEL-562,VAN - CARGO,3.0,4,AS7,Z,12.5,7.6,10.3,23,238
LAMBORGHINI,MODEL-414,VAN - CARGO,2.5,6,A10,X,12.2,8.2,10.4,23,232
JAGUAR,MODEL-601,TWO-SEATER,2.0,4,AM6,E,13.0,7.9,10.7,22,159
LEXUS,MODEL-613,SPECIAL PURPOSE VEHICLE,2.5,4,A4,X,11.7,7.5,9.8,24,225
GENESIS,MODEL-494,PICKUP TRUCK - STANDARD,4.0,4,AS7,X,17.6,12.7,15.4,15,337
LEXUS,MODEL-799,COMPACT,1.0,3,AM7,X,8.6,4.0,6.5,36,157
ASTON MARTIN,MODEL-226,PICKUP TRUCK - STANDARD,3.5,4,A5,Z,16.3,14.2,15.4,15,359
GENESIS,MODEL-202,STATION WAGON - SMALL,1.5,3,AV8,Z,9.1,7.0,8.2,29,184
MAZDA,MODEL-783,VAN - PASSENGER,3.0,4,A9,Z,13.3,10.0,11.8,20,272
ACURA,MODEL-559,STATION WAGON - SMALL,1.0,3,M6,X,8.9,4.2,6.8,35,164
MINI,MODEL-757,PICKUP TRUCK - STANDARD,3.0,6,AV,X,14.6,9.6,12.4,19,280
PORSCHE,MODEL-219,STATION WAGON - MID-SIZE,2.5,4,A8,X,11.3,8.7,10.1,23,232
FORD,MODEL-347,PICKUP TRUCK - SMALL,3.5,4,AV,X,15.5,13.2,14.5,16,324
PORSCHE,MODEL-540,PICKUP TRUCK - SMALL,2.5,6,AS8,D,11.7,10.4,11.1,21,288
VOLVO,MODEL-946,SUBCOMPACT,1.5,4,AS6,D,9.5,6.1,8.0,29,214
MITSUBISHI,MODEL-587,SUV - STANDARD,2.0,4,AS10,Z,10.9,5.9,8.7,27,196
VOLVO,MODEL-276,TWO-SEATER,3.0,4,AV7,Z,13.6,10.2,12.1,19,284
ACURA,MODEL-592,VAN - CARGO,3.0,6,AS7,X,15.2,13.6,14.5,16,329
JEEP,MODEL-955,SPECIAL PURPOSE VEHICLE,2.5,4,A8,X,11.4,7.7,9.7,24,223
RAM,MODEL-467,FULL-SIZE,1.5,3,A5,E,14.3,11.8,13.2,18,194
BMW,MODEL-242,STATION WAGON - MID-SIZE,2.5,4,AS6,X,12.5,11.0,11.8,20,271
HYUNDAI,MODEL-668,STATION WAGON - SMALL,2.5,4,M5,X,13.3,9.5,11.6,20,275
CHEVROLET,MODEL-395,FULL-SIZE,2.5,6,M7,X,13.6,9.2,11.6,20,268
ASTON MARTIN,MODEL-339,MID-SIZE,3.0,6,AM6,E,17.8,12.9,15.6,15,238
DODGE,MODEL-994,SUV - STANDARD,1.5,4,AS6,Z,9.8,5.6,7.9,30,185
RAM,MODEL-621,TWO-SEATER,2.5,6,AM6,X,12.5,8.3,10.6,22,240
VOLVO,MODEL-186,VAN - PASSENGER,4.0,6,AS5,X,16.5,11.8,14.4,16,319
VOLKSWAGEN,MODEL-413,SUV - SMALL,3.5,6,A6,E,17.4,12.1,15.0,16,220
GENESIS,MODEL-434,MINICOMPACT,1.0,4,A9,X,8.2,6.3,7.3,32,167
TOYOTA,MODEL-525,SUV - STANDARD,2.5,4,M6,Z,11.5,8.1,10.0,24,220
MINI,MODEL-749,VAN - PASSENGER,3.0,6,AS8,Z,15.3,12.5,14.0,17,308
MINI,MODEL-980,SUV - SMALL,4.0,8,AV8,E,20.2,17.3,18.9,12,280
BMW,MODEL-285,SUV - SMALL,1.5,4,M5,E,12.4,7.5,10.2,23,153
PORSCHE,MODEL-486,MINICOMPACT,1.5,4,AS6,D,8.9,5.3,7.3,32,187
MAZDA,MODEL-367,VAN - PASSENGER,1.5,4,AM6,X,10.6,6.2,8.6,27,203
ACURA,MODEL-222,TWO-SEATER,2.5,6,A7,X,14.5,11.4,13.1,18,309
ACURA,MODEL-737,SUV - STANDARD,2.5,6,AV10,Z,12.7,11.0,11.9,20,288
DODGE,MODEL-423,STATION WAGON - MID-SIZE,2.5,4,AM7,X,11.8,8.0,10.1,23,235
TOYOTA,MODEL-636,SPECIAL PURPOSE VEHICLE,3.0,6,A8,X,15.0,12.8,14.0,17,324
MINI,MODEL-825,VAN - PASSENGER,3.0,4,A7,X,13.3,8.5,11.1,21,258
KIA,MODEL-438,MID-SIZE,1.0,4,AS7,Z,9.9,8.0,9.0,26,210
LAND ROVER,MODEL-959,PICKUP TRUCK - STANDARD,3.5,4,AS10,X,14.6,11.8,13.3,18,305
INFINITI,MODEL-468,FULL-SIZE,2.5,6,AS6,X,13.4,11.8,12.7,19,302
BUICK,MODEL-109,SUV - STANDARD,2.5,4,AS8,Z,13.3,10.7,12.1,19,271
VOLVO,MODEL-935,TWO-SEATER,2.5,4,A7,Z,12.1,9.0,10.7,22,243
ALFA ROMEO,MODEL-751,VAN - PASSENGER,2.5,4,AS7,Z,12.8,11.1,12.0,20,267
ACURA,MODEL-878,FULL-SIZE,3.0,8,AS5,Z,13.6,10.1,12.0,20,273
VOLKSWAGEN,MODEL-717,SUV - STANDARD,2.5,4,M5,X,12.9,10.5,11.8,20,268
HONDA,MODEL-475,SUV - STANDARD,2.5,4,AV7,Z,13.4,9.1,11.5,20,249
HONDA,MODEL-460,SUBCOMPACT,1.5,3,A8,Z,10.0,5.2,7.8,30,180
FIAT,MODEL-722,VAN - PASSENGER,3.5,6,AS7,X,14.6,10.4,12.7,19,287
VOLVO,MODEL-931,SUBCOMPACT,2.0,4,M5,D,10.2,6.3,8.4,28,222
JAGUAR,MODEL-408,MID-SIZE,1.5,4,M6,X,10.2,7.0,8.8,27,203
TOYOTA,MODEL-922,STATION WAGON - MID-SIZE,2.0,4,M7,Z,9.7,7.1,8.5,28,201
VOLVO,MODEL-875,SPECIAL PURPOSE VEHICLE,2.5,6,AM6,X,13.1,10.0,11.7,20,280
JEEP,MODEL-392,SUV - STANDARD,3.0,8,M5,X,15.8,11.3,13.8,17,315
NISSAN,MODEL-751,STATION WAGON - MID-SIZE,2.5,4,AS7,E,16.7,12.3,14.7,16,220
HONDA,MODEL-194,SUBCOMPACT,3.0,6,AS6,X,12.9,11.1,12.1,19,283
SUBARU,MODEL-688,FULL-SIZE,1.5,3,AS5,X,11.2,9.3,10.3,23,228
FIAT,MODEL-369,MINICOMPACT,1.5,3,A4,Z,10.2,7.7,9.1,26,215
VOLKSWAGEN,MODEL-863,FULL-SIZE,3.0,6,AS6,D,10.5,7.4,9.1,26,237
KIA,MODEL-375,SUV - SMALL,2.5,6,AS6,X,12.3,9.8,11.2,21,250
ACURA,MODEL-783,SUV - SMALL,3.0,8,A4,Z,14.8,11.0,13.1,18,296
BMW,MODEL-897,SUV - SMALL,2.0,4,AS9,X,11.4,8.8,10.2,23,242
CHEVROLET,MODEL-581,MID-SIZE,1.0,3,A5,X,10.2,5.2,8.0,29,184
LINCOLN,MODEL-495,COMPACT,2.0,4,M5,Z,11.1,7.0,9.3,25,201
KIA,MODEL-392,VAN - CARGO,1.5,4,A8,N,10.1,7.4,8.9,26,164
HONDA,MODEL-817,SUV - STANDARD,2.0,4,A7,Z,12.0,9.0,10.6,22,235
LAMBORGHINI,MODEL-699,PICKUP TRUCK - STANDARD,2.5,4,M6,Z,13.7,10.7,12.4,19,285
AUDI,MODEL-146,SUV - SMALL,2.5,6,AV8,D,10.4,7.6,9.1,26,238
MERCEDES-BENZ,MODEL-140,VAN - PASSENGER,2.5,4,M7,D,12.3,8.4,10.5,22,269
HONDA,MODEL-351,PICKUP TRUCK - SMALL,2.0,4,M7,X,11.0,7.3,9.3,25,223
JEEP,MODEL-775,MID-SIZE,2.5,4,A4,X,11.8,7.2,9.7,24,224
BMW,MODEL-783,FULL-SIZE,2.5,6,AS9,X,12.5,9.2,11.0,21,257
ACURA,MODEL-522,VAN - PASSENGER,2.0,6,AV,X,14.0,12.2,13.2,18,297
GENESIS,MODEL-810,PICKUP TRUCK - SMALL,2.5,4,A7,X,13.5,10.0,11.9,20,272
SMART,MODEL-252,SUBCOMPACT,2.5,6,AS6,X,12.3,7.9,10.3,23,235
LAMBORGHINI,MODEL-243,FULL-SIZE,2.5,4,AV8,X,11.4,7.7,9.7,24,229
ALFA ROMEO,MODEL-769,PICKUP TRUCK - SMALL,2.5,6,AS8,X,12.1,8.0,10.3,23,243
ROLLS-ROYCE,MODEL-908,TWO-SEATER,1.5,3,A7,X,9.7,7.5,8.7,27,204
RAM,MODEL-431,MINICOMPACT,1.0,4,AS6,N,9.9,5.9,8.1,29,154
ROLLS-ROYCE,MODEL-459,VAN - CARGO,3.5,6,AS8,X,13.9,11.0,12.6,19,278
ACURA,MODEL-784,COMPACT,2.0,4,AM6,Z,11.0,6.2,8.8,27,198
GENESIS,MODEL-881,STATION WAGON - SMALL,1.5,3,A4,X,10.3,8.1,9.3,25,222
GMC,MODEL-792,MINICOMPACT,2.0,4,AV7,Z,11.0,6.9,9.2,26,207
LAND ROVER,MODEL-276,VAN - CARGO,1.0,4,AM7,X,8.9,4.0,6.7,35,165
RAM,MODEL-454,STATION WAGON - SMALL,2.5,4,AV7,X,12.7,9.0,11.0,21,260
ROLLS-ROYCE,MODEL-134,PICKUP TRUCK - SMALL,3.0,4,AS6,Z,12.1,8.9,10.7,22,247
INFINITI,MODEL-782,TWO-SEATER,3.0,6,A5,X,12.5,8.7,10.8,22,253
MAZDA,MODEL-210,SUBCOMPACT,1.5,4,M5,Z,10.2,7.4,8.9,26,205
HYUNDAI,MODEL-753,TWO-SEATER,2.5,4,A9,N,12.7,9.8,11.4,21,227
JEEP,MODEL-277,SUV - STANDARD,2.5,4,AS8,X,13.2,10.8,12.1,19,275
ACURA,MODEL-758,MINICOMPACT,2.0,4,AS6,X,10.5,8.1,9.4,25,214
MINI,MODEL-334,COMPACT,3.5,6,M7,E,16.7,11.9,14.5,16,222
VOLKSWAGEN,MODEL-335,SUBCOMPACT,1.5,4,M5,X,10.2,6.7,8.6,27,192
LAMBORGHINI,MODEL-443,VAN - PASSENGER,3.0,4,AS7,E,16.6,12.4,14.7,16,220
MERCEDES-BENZ,MODEL-297,VAN - CARGO,3.0,4,AS6,N,12.7,8.2,10.7,22,206
CHRYSLER,MODEL-453,SUBCOMPACT,2.0,4,A5,Z,11.4,9.6,10.6,22,240
LEXUS,MODEL-596,STATION WAGON - SMALL,1.5,4,M5,Z,10.3,5.8,8.3,28,185
BUICK,MODEL-987,PICKUP TRUCK - STANDARD,2.5,6,M7,X,14.2,11.8,13.1,18,302
HYUNDAI,MODEL-289,SUV - STANDARD,3.0,4,AS7,D,11.1,8.9,10.1,23,274
CHEVROLET,MODEL-466,VAN - PASSENGER,3.5,6,A7,X,15.3,11.6,13.6,17,300
BUICK,MODEL-636,STATION WAGON - MID-SIZE,1.5,4,A6,X,11.0,7.1,9.2,26,214
ACURA,MODEL-945,SPECIAL PURPOSE VEHICLE,1.5,4,AV10,X,9.6,8.1,8.9,26,210
MITSUBISHI,MODEL-908,COMPACT,2.0,6,AV10,X,12.4,10.6,11.6,20,268
ROLLS-ROYCE,MODEL-641,PICKUP TRUCK - SMALL,2.0,4,AM6,X,11.2,9.5,10.4,23,231
MASERATI,MODEL-879,MID-SIZE,2.5,6,AS10,X,11.9,8.0,10.1,23,226
DODGE,MODEL-730,SPECIAL PURPOSE VEHICLE,3.0,6,AS7,X,12.8,9.4,11.3,21,266
CHRYSLER,MODEL-641,PICKUP TRUCK - SMALL,3.5,4,AS9,X,14.2,11.6,13.0,18,303
LINCOLN,MODEL-564,SUV - SMALL,3.5,6,M5,N,14.8,13.0,14.0,17,263
SUBARU,MODEL-788,STATION WAGON - MID-SIZE,3.0,8,M7,X,15.6,11.8,13.9,17,318
HONDA,MODEL-499,SUV - SMALL,2.5,4,AM6,D,11.6,7.5,9.8,24,259
BUICK,MODEL-335,PICKUP TRUCK - SMALL,2.0,6,AS7,X,11.1,8.6,10.0,24,231
AUDI,MODEL-791,STATION WAGON - SMALL,1.0,4,A8,Z,9.1,5.0,7.3,32,165
HYUNDAI,MODEL-224,PICKUP TRUCK - SMALL,2.5,4,AS10,Z,12.9,9.0,11.1,21,255
LAND ROVER,MODEL-493,VAN - PASSENGER,3.5,6,AV,D,13.1,10.7,12.0,20,324
BUICK,MODEL-519,MINICOMPACT,1.0,4,A4,E,11.5,7.5,9.7,24,160
MITSUBISHI,MODEL-344,PICKUP TRUCK - STANDARD,4.0,6,A6,Z,15.9,11.7,14.0,17,312
CHRYSLER,MODEL-421,TWO-SEATER,3.0,8,AV,X,14.5,12.5,13.6,17,319
BUICK,MODEL-328,STATION WAGON - MID-SIZE,2.0,4,A5,Z,12.1,7.6,10.1,23,234
HYUNDAI,MODEL-990,STATION WAGON - MID-SIZE,2.5,4,AS9,X,12.3,9.7,11.1,21,251
NISSAN,MODEL-643,MID-SIZE,2.5,6,AS6,X,13.8,10.7,12.4,19,289
CHRYSLER,MODEL-905,MINICOMPACT,2.5,4,A5,Z,13.7,9.3,11.7,20,254
MASERATI,MODEL-861,PICKUP TRUCK - SMALL,3.0,8,M5,Z,14.9,12.0,13.6,17,301
AUDI,MODEL-890,SPECIAL PURPOSE VEHICLE,3.0,6,M5,Z,14.3,10.2,12.5,19,288
ASTON MARTIN,MODEL-119,PICKUP TRUCK - SMALL,3.5,8,A9,X,16.4,14.6,15.6,15,364
PORSCHE,MODEL-298,STATION WAGON - SMALL,2.5,4,A7,D,10.7,9.4,10.1,23,271
MITSUBISHI,MODEL-914,VAN - CARGO,3.0,6,A9,X,14.8,10.3,12.8,18,285
CADILLAC,MODEL-275,VAN - CARGO,3.5,8,AS7,Z,15.1,11.5,13.5,17,315
RAM,MODEL-482,SPECIAL PURPOSE VEHICLE,3.5,6,A10,Z,15.9,13.5,14.8,16,329
GENESIS,MODEL-436,TWO-SEATER,1.5,4,A8,Z,11.3,8.1,9.9,24,228
HYUNDAI,MODEL-259,FULL-SIZE,2.0,4,A4,D,11.0,8.5,9.9,24,262
JEEP,MODEL-785,VAN - PASSENGER,1.0,3,AS7,X,8.2,6.2,7.3,32,166
PORSCHE,MODEL-771,COMPACT,2.5,4,AV,Z,12.0,9.0,10.6,22,254
JAGUAR,MODEL-224,VAN - CARGO,2.5,6,M5,Z,12.4,10.6,11.6,20,267
SMART,MODEL-830,STATION WAGON - SMALL,1.0,4,A8,X,9.4,7.4,8.5,28,201
CHEVROLET,MODEL-522,MID-SIZE,1.5,4,A8,Z,8.7,6.5,7.7,31,181
CADILLAC,MODEL-494,STATION WAGON - MID-SIZE,3.0,4,AM6,X,14.5,9.7,12.3,19,276
MASERATI,MODEL-514,VAN - PASSENGER,2.5,4,AS5,X,12.0,9.9,11.1,21,254
CADILLAC,MODEL-592,SUV - SMALL,3.5,4,AS9,X,13.5,10.4,12.1,19,277
VOLKSWAGEN,MODEL-504,STATION WAGON - MID-SIZE,2.5,4,AS8,Z,11.5,7.6,9.7,24,223
CADILLAC,MODEL-268,MINICOMPACT,1.5,4,A8,D,8.9,4.7,7.0,34,186
MITSUBISHI,MODEL-517,VAN - PASSENGER,3.0,6,A5,X,14.5,10.7,12.8,18,285
FIAT,MODEL-625,SPECIAL PURPOSE VEHICLE,2.5,6,M7,X,11.6,6.8,9.4,25,208
CHEVROLET,MODEL-718,TWO-SEATER,1.5,3,A9,X,10.1,8.2,9.2,26,222
CHRYSLER,MODEL-732,COMPACT,2.0,6,AS5,Z,11.4,8.2,10.0,24,229
ROLLS-ROYCE,MODEL-184,COMPACT,1.0,4,AM6,Z,9.2,6.3,7.9,30,181
SMART,MODEL-724,COMPACT,2.0,4,M7,X,11.2,7.8,9.7,24,224
ALFA ROMEO,MODEL-271,SUV - STANDARD,2.5,4,A8,Z,13.0,10.3,11.8,20,276
PORSCHE,MODEL-485,VAN - PASSENGER,3.0,6,AV8,X,14.0,11.2,12.7,19,286
MASERATI,MODEL-489,STATION WAGON - MID-SIZE,1.5,3,M5,Z,10.0,5.5,8.0,29,179
BENTLEY,MODEL-464,STATION WAGON - MID-SIZE,1.5,4,A5,D,8.5,6.2,7.5,31,185
ACURA,MODEL-198,PICKUP TRUCK - SMALL,2.5,6,A10,Z,13.2,8.9,11.3,21,252
BMW,MODEL-773,STATION WAGON - MID-SIZE,2.0,4,AS7,D,9.2,4.9,7.3,32,180
MINI,MODEL-185,MINICOMPACT,1.0,4,M6,X,8.0,6.2,7.2,33,165
LINCOLN,MODEL-219,STATION WAGON - MID-SIZE,2.0,6,A8,X,13.5,9.3,11.6,20,253
VOLVO,MODEL-382,MINICOMPACT,1.0,3,A7,D,8.2,5.2,6.8,35,171
FIAT,MODEL-329,MID-SIZE,3.5,6,AM7,Z,14.6,9.9,12.5,19,288
VOLVO,MODEL-928,MINICOMPACT,1.0,3,M7,X,8.3,4.0,6.4,37,138
PORSCHE,MODEL-467,STATION WAGON - MID-SIZE,2.0,4,A4,X,11.3,8.5,10.0,24,220
BMW,MODEL-618,STATION WAGON - MID-SIZE,1.0,4,AS5,D,7.5,3.5,5.7,41,153
AUDI,MODEL-576,STATION WAGON - MID-SIZE,2.5,4,A9,Z,11.1,8.7,10.0,24,227
GMC,MODEL-192,MID-SIZE,2.0,4,A6,Z,11.5,7.0,9.5,25,221
HONDA,MODEL-901,STATION WAGON - MID-SIZE,1.0,4,M6,X,10.2,7.5,9.0,26,211
RAM,MODEL-320,SPECIAL PURPOSE VEHICLE,2.5,4,AS7,Z,11.5,8.3,10.1,23,228
AUDI,MODEL-614,SUV - SMALL,2.5,6,AV8,Z,12.5,10.3,11.5,20,265
FORD,MODEL-135,SUBCOMPACT,1.0,3,AS6,X,8.7,5.2,7.1,33,158
FORD,MODEL-449,MID-SIZE,1.5,3,AV8,D,8.5,6.8,7.7,31,200
LEXUS,MODEL-993,VAN - CARGO,2.0,4,A8,X,11.9,8.2,10.2,23,230
BUICK,MODEL-302,TWO-SEATER,3.5,6,AV,X,14.3,10.8,12.7,19,278
BENTLEY,MODEL-314,SUV - SMALL,3.5,8,AS10,X,15.6,11.6,13.8,17,303
JEEP,MODEL-168,MINICOMPACT,1.0,4,A6,X,9.6,5.4,7.7,31,173
BUICK,MODEL-236,SUV - SMALL,2.5,6,AV7,D,11.0,8.7,10.0,24,270
TOYOTA,MODEL-468,FULL-SIZE,2.0,4,A9,D,11.9,9.0,10.6,22,278
MERCEDES-BENZ,MODEL-937,SUV - SMALL,2.0,4,AS5,Z,12.1,8.0,10.3,23,243
PORSCHE,MODEL-152,COMPACT,3.0,6,AS8,X,15.7,11.4,13.8,17,324
BENTLEY,MODEL-656,MINICOMPACT,1.5,4,M6,X,10.3,7.2,8.9,26,207
JEEP,MODEL-337,VAN - PASSENGER,3.0,6,A6,X,12.5,8.4,10.7,22,246
ACURA,MODEL-561,VAN - PASSENGER,2.5,4,AV10,X,12.2,9.3,10.9,22,256
HONDA,MODEL-160,FULL-SIZE,3.5,6,AM7,Z,15.1,13.5,14.4,16,326
